Action, Timestamp
Read from Series CSV, 2021.05.23 15:07:56
Read from Curriculum CSV, 2021.05.23 15:07:56
Read from Student CSV, 2021.05.23 15:11:48
Read from Professor CSV, 2021.05.23 15:11:48
Read from Subject CSV, 2021.05.23 15:11:48
Read from OptionalSubject CSV, 2021.05.23 15:11:48
Read from Group CSV, 2021.05.23 15:11:49
Read from Series CSV, 2021.05.23 15:11:49
Read from Curriculum CSV, 2021.05.23 15:11:49
Read from Student CSV, 2021.05.23 15:16:05
Read from Professor CSV, 2021.05.23 15:16:05
Read from Subject CSV, 2021.05.23 15:16:05
Read from OptionalSubject CSV, 2021.05.23 15:16:05
Read from Group CSV, 2021.05.23 15:16:05
Read from Series CSV, 2021.05.23 15:16:05
Read from Curriculum CSV, 2021.05.23 15:16:05
Read from Student CSV, 2021.05.23 15:16:28
Read from Professor CSV, 2021.05.23 15:16:28
Read from Subject CSV, 2021.05.23 15:16:28
Read from OptionalSubject CSV, 2021.05.23 15:16:28
Read from Group CSV, 2021.05.23 15:16:28
Read from Series CSV, 2021.05.23 15:16:28
Read from Curriculum CSV, 2021.05.23 15:16:28
Read from Student CSV, 2021.05.23 15:16:48
Read from Professor CSV, 2021.05.23 15:16:48
Read from Subject CSV, 2021.05.23 15:16:48
Read from OptionalSubject CSV, 2021.05.23 15:16:48
Read from Group CSV, 2021.05.23 15:16:48
Read from Series CSV, 2021.05.23 15:16:48
Read from Curriculum CSV, 2021.05.23 15:16:48
Read from Student CSV, 2021.05.23 15:16:59
Read from Professor CSV, 2021.05.23 15:16:59
Read from Subject CSV, 2021.05.23 15:16:59
Read from OptionalSubject CSV, 2021.05.23 15:16:59
Read from Group CSV, 2021.05.23 15:16:59
Read from Series CSV, 2021.05.23 15:16:59
Read from Curriculum CSV, 2021.05.23 15:16:59
Read from Student CSV, 2021.05.23 15:19:38
Read from Professor CSV, 2021.05.23 15:19:38
Read from Subject CSV, 2021.05.23 15:19:38
